,Diameter (km),Long,Lat,tag
0,5.2727230407,-59.660681449,-59.9931808192,standard
1,5.16143370904,-82.9562051298,-59.1369636748,standard
2,8.34838250688,-78.8192139593,-59.6033224728,standard
3,10.5216291469,-79.514865833,-59.2768713142,standard
4,13.7055680259,-76.9479492824,-59.3681999122,standard
5,5.24844691151,-75.4653169371,-59.3526546189,standard
6,5.11737919632,-73.4094519027,-59.5178233599,standard
7,6.83222367663,-70.4189261106,-58.6181395121,standard
8,18.4501620173,-71.3011215035,-59.8578766501,standard
9,12.8387002299,-62.6350646,-59.6700336047,standard
10,14.979570935,-60.6397426252,-59.5490468055,standard
11,5.45599248843,-44.7386204395,-59.3493225655,standard
12,5.63357574172,-45.4895067649,-59.7890999786,standard
13,10.0851672292,-42.12108064,-59.616261694,standard
14,8.98071480757,-28.0424421444,-59.6719540301,standard
15,7.30224156252,-27.4643941036,-59.416537454,standard
16,10.8288763334,-28.8317369776,-59.7718161501,standard
17,7.63157867371,-24.8602972819,-59.5759327609,standard
18,5.40126472146,-17.2400493552,-59.541365104,standard
19,6.35126170719,-16.9481446967,-59.5087178724,standard
20,7.15890457286,-4.2790984335,-59.3378000132,standard
21,8.36744012321,-1.97842882257,-59.5356038278,standard
22,13.2316849241,-88.3024826217,1.16246461919,standard
23,10.8062169189,-89.0172573748,11.1063684769,standard
24,16.7540101564,-88.5015852589,11.8715875051,standard
25,10.5911752763,-89.9112951578,17.2321268272,standard
26,14.7734456893,-89.0575728783,18.9252631915,standard
27,17.7596936813,-88.4924435653,19.2870034312,standard
28,9.5970537085,-88.3362179677,19.6459000743,standard
29,11.6176168658,-88.6247707419,20.1394809029,standard
30,17.5547045853,-89.7325217846,19.4975143035,standard
31,14.4713171298,-88.2227455378,31.2493402388,standard
32,17.3419640058,-89.5949973465,25.6876347629,standard
33,12.5780384758,-89.2329509932,25.2780602779,standard
34,12.4927371939,-88.1849542007,13.182543854,?
35,10.4630433377,-88.7960749302,20.8547124947,standard
36,16.2626924379,-88.8968825485,21.1393794623,standard
37,15.1388700927,-88.2570978346,20.8988158277,standard
38,11.6503613744,-88.4214829849,21.6073330086,standard
39,16.7499435513,-88.558727622,22.2228932771,standard
40,11.5617387192,-73.6716550615,29.3872825175,standard
41,8.69869999608,-85.9771079994,28.9912942037,standard
42,9.40368626592,-85.0197395425,28.1962554683,standard
43,14.193704317,-84.2803724685,28.1826281733,?
44,10.2911285371,-77.4154390106,28.284430754,standard
45,8.83529842624,-76.5782437956,28.0830854355,standard
46,9.74294155643,-74.5766603515,28.6050161279,standard
47,9.74953115203,-73.7433840442,25.343549482,standard
48,10.9769958806,-85.0721917668,25.9608370046,standard
49,15.9056241107,-86.5806598547,26.6601222353,standard
50,13.7624516775,-87.1312919684,27.3714064802,standard
51,9.31692539741,-87.4844813866,25.0168103593,standard
52,11.6703956351,-86.4334975972,25.6214019674,?
53,10.664541754,-85.7062707744,25.0928441923,?
54,12.4666748333,-85.9257878086,24.3116578751,standard
55,14.0510579505,-84.9385743308,23.7168770842,standard
56,15.4527182103,-86.1440784907,23.4397214991,standard
57,10.7993275978,-87.6488125742,23.4507586684,standard
58,16.2331249058,-87.6770186735,22.8510724689,standard
59,9.60416242296,-87.2220420273,22.9295590062,standard
60,11.8967317649,-84.3621888221,22.9908766135,?
61,16.2112091061,-84.5853849127,22.3777005404,standard
62,14.4448782562,-85.2555053529,23.492157586,?
63,13.0900527835,-86.8872904664,22.0553317116,?
64,10.8786804268,-87.2481426516,21.7130468648,standard
65,8.5481117398,-86.7519031546,21.1013948001,standard
66,13.8874425304,-87.5886162363,20.0667388285,standard
67,15.2615874374,-87.0684479275,19.7529261102,standard
68,9.5075211548,-82.9854009073,21.450107219,standard
69,9.47277762828,-82.0777459633,22.6552886385,standard
70,9.92211526372,-84.2404855431,18.5130201011,standard
71,9.66211493307,-87.2810324353,18.2165231379,?
72,10.3701114248,-86.6215292995,19.2276499948,standard
73,12.4925624222,-87.6184981081,15.4974932536,standard
74,15.2973622107,-87.1629613304,15.1362290043,standard
75,11.6432940628,-87.4023399695,14.6751970501,standard
76,14.7286547996,-87.8774321684,13.6422700857,standard
77,11.6264520915,-85.2946153025,15.8623398013,standard
78,18.3011002832,-85.7886763121,14.6463631612,?
79,13.7057175386,-85.6645970632,14.3350370456,?
80,14.5222838871,-87.4464351182,13.1512512757,standard
81,11.0089507392,-87.3767246406,12.5964322689,standard
82,11.4764906814,-83.6275508519,15.1223476048,standard
83,13.7271498591,-81.9897949396,14.023844621,standard
84,11.990225013,-86.7332386425,11.6112721274,?
85,18.9622712562,-87.3507262965,10.2883307013,standard
86,10.5607651826,-86.0384635715,8.07055977075,standard
87,11.9553309837,-84.9565926151,8.3272357211,?
88,12.641977568,-85.0980189262,9.40235130689,standard
